Utility,New Years Day,Presidents Day,Memorial Day,Independence Day,Labor Day,Veterans Day,Thanksgiving,Christmas
PG&E,2020-01-01,2020-02-17,2020-05-25,2020-07-04,2020-09-07,2020-11-11,2020-11-26,2020-12-25
SCE,2020-01-01,2020-02-17,2020-05-25,2020-07-04,2020-09-07,2020-11-11,2020-11-26,2020-12-25
SDG&E,2020-01-01,2020-02-17,2020-05-25,2020-07-03,2020-09-07,,2020-11-26,2020-12-25
