"E3 ACC Climate Zone","Installed NEM & NBT Capacity (kW-AC)"
"1",0
"2",11.5503033811292
"3A",261.224581540648
"3B",42.9069187270844
"4",0
"5",98.6950763390404
"6",433518.613873891
"7",225.932102671996
"8",635061.760322049
"9",707473.477984624
"10",1396562.87332754
"11",67.4781873515247
"12",191.457396937433
"13",435025.608704633
"14",486795.384908983
"15",278657.065283844
"16",66490.7890307522
