"E3 ACC Climate Zone","Installed NEM & NBT Capacity (kW-AC)"
"1",33695.6845989791
"2",440478.081581428
"3A",433444.797598181
"3B",413024.499429244
"4",723688.311822725
"5",134012.759260457
"6",31.3477495199746
"7",0
"8",5.48790559440997
"9",0
"10",0
"11",797655.995767906
"12",1915372.84128074
"13",1831630.50451567
"14",29.9386010445335
"15",4.7393186113327
"16",23602.4155698966
